交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
1,1,進入Long,BreakOut_LE,43892,0.5,8556.25,1,-164.5,-0.9612856099342586,-164.5,-0.1645,237.5,1.3878743608473338,-185,-1.0810810810810811
,2,離開Long,Breakout_LX,43892,0.8333333333333334,8479,1,,,,,,,,
2,3,進入Long,BreakOut_LE,43892,0.9166666666666666,8463.5,1,629.5,3.7189106161753407,465,0.46499999999999997,852,5.033378625864005,-44,-0.2599397412418031
,4,離開Long,Breakout_LX,43893,0.5416666666666666,8783.25,1,,,,,,,,
3,5,進入Long,BreakOut_LE,43893,0.6666666666666666,8814.5,1,-79,-0.448125248170628,386,0.386,198.5,1.1259855919224004,-74,-0.4197628906914743
,6,離開Long,Breakout_LX,43893,0.9583333333333334,8780,1,,,,,,,,
4,7,進入Long,BreakOut_LE,43895,0.20833333333333334,8865.75,1,-97.5,-0.5498688774215379,288.5,0.2885,162,0.913628288638863,-92.5,-0.5216704734512027
,8,離開Long,Breakout_LX,43895,0.5,8822,1,,,,,,,,
5,9,進入Long,BreakOut_LE,43906,0.75,7541,1,-10,-0.06630420368651373,278.5,0.2785,0,0,-5,-0.03315210184325686
,10,離開Long,ThisBar_LX,43906,0.75,7541,1,,,,,,,,
6,11,進入Long,BreakOut_LE,43909,0.3333333333333333,7376,1,-867.5,-5.880558568329718,-589,-0.5890000000000001,89.5,0.6066973969631236,-862.5,-5.8466648590021695
,12,離開Long,Breakout_LX,43909,0.5,6947.25,1,,,,,,,,
7,13,進入Long,BreakOut_LE,43914,0.08333333333333333,7108,1,609.5,4.287422622397298,20.5,0.0205,1046,7.357906584130556,-528.5,-3.71764209341587
,14,離開Long,Breakout_LX,43915,0.5,7417.75,1,,,,,,,,
8,15,進入Long,BreakOut_LE,43915,0.625,7556,1,-287,-1.8991529910005294,-266.5,-0.26649999999999996,398.5,2.636977236633139,-282,-1.8660667019587085
,16,離開Long,Breakout_LX,43915,0.9583333333333334,7417.5,1,,,,,,,,
9,17,進入Long,BreakOut_LE,43916,0.08333333333333333,7635.75,1,-417.5,-2.7338506368071243,-684,-0.6839999999999999,245,1.6042955832760373,-412.5,-2.7011099106178174
,18,離開Long,Breakout_LX,43916,0.3333333333333333,7432,1,,,,,,,,
10,19,進入Long,BreakOut_LE,43916,0.9583333333333334,7642,1,125,0.81784873069877,-559,-0.559,497.5,3.2550379481811045,-8,-0.05234231876472127
,20,離開Long,Breakout_LX,43917,0.4583333333333333,7709.5,1,,,,,,,,
11,21,進入Long,BreakOut_LE,43927,0.625,7843.75,1,-110,-0.701195219123506,-669,-0.6689999999999999,45,0.2868525896414343,-105,-0.6693227091633466
,22,離開Long,Breakout_LX,43927,0.875,7793.75,1,,,,,,,,
12,23,進入Long,BreakOut_LE,43928,0.08333333333333333,7936,1,74,0.46622983870967744,-595,-0.5950000000000001,320,2.0161290322580645,-52,-0.3276209677419355
,24,離開Long,Breakout_LX,43928,0.5,7978,1,,,,,,,,
13,25,進入Long,BreakOut_LE,43928,0.5833333333333334,8007.75,1,357,2.2290905685117544,-238,-0.23800000000000002,585.5,3.655833411382723,-5,-0.031219755861509164
,26,離開Long,Breakout_LX,43928,0.9583333333333334,8191.25,1,,,,,,,,
14,27,進入Long,BreakOut_LE,43930,0.041666666666666664,8188.5,1,-82.5,-0.5037552665323319,-320.5,-0.3205,101.5,0.6197716309458386,-141,-0.8609635464370763
,28,離開Long,Breakout_LX,43930,0.4583333333333333,8152.25,1,,,,,,,,
15,29,進入Long,BreakOut_LE,43930,0.9166666666666666,8274,1,-198,-1.1965192168237855,-518.5,-0.5185000000000001,98.5,0.5952380952380952,-249,-1.504713560551124
,30,離開Long,US_Holiday_LX,43931,0.16666666666666666,8180,1,,,,,,,,
16,31,進入Long,BreakOut_LE,43935,0.125,8253.5,1,326,1.9749197310232023,-192.5,-0.1925,463,2.804870660931726,-80,-0.48464287877869994
,32,離開Long,Breakout_LX,43935,0.7083333333333334,8421.5,1,,,,,,,,
17,33,進入Long,BreakOut_LE,43935,0.9166666666666666,8492,1,295.5,1.7398728214790393,103,0.10300000000000001,423,2.490579368817711,-5,-0.029439472444653794
,34,離開Long,Breakout_LX,43936,0.4583333333333333,8644.75,1,,,,,,,,
18,35,進入Long,BreakOut_LE,43943,0.75,8552,1,84,0.49111318989710007,187,0.187,288.5,1.6867399438727781,-89.5,-0.5232694106641721
,36,離開Long,Breakout_LX,43944,0.375,8599,1,,,,,,,,
19,37,進入Long,BreakOut_LE,43946,0.125,8720.25,1,228,1.3073019695536252,415,0.415,349,2.0010894183079615,-5,-0.02866890284108827
,38,離開Long,Breakout_LX,43948,0.9166666666666666,8839.25,1,,,,,,,,
20,39,進入Long,BreakOut_LE,43951,0.16666666666666666,8983,1,150,0.8349103862852054,565,0.565,318.5,1.772793053545586,-50,-0.27830346209506845
,40,離開Long,Breakout_LX,43951,0.7916666666666666,9063,1,,,,,,,,
21,41,進入Long,BreakOut_LE,43959,0.041666666666666664,9108,1,131,0.7191480017566974,696,0.696,255,1.3998682476943347,-89.5,-0.4913263065436978
,42,離開Long,Breakout_LX,43959,0.7083333333333334,9178.5,1,,,,,,,,
22,43,進入Long,BreakOut_LE,43960,0,9195,1,73.5,0.399673735725938,769.5,0.7695,173.5,0.943447525829255,-94,-0.511147362697118
,44,離開Long,Breakout_LX,43962,0.625,9236.75,1,,,,,,,,
23,45,進入Long,BreakOut_LE,43963,0.8333333333333334,9303.75,1,-127,-0.6825204890501142,642.5,0.6425000000000001,77,0.4138116350933764,-122,-0.6556496036544404
,46,離開Long,Breakout_LX,43963,0.9166666666666666,9245.25,1,,,,,,,,
24,47,進入Long,BreakOut_LE,43964,0,9318.25,1,-172,-0.9229200761945644,470.5,0.4705,21.5,0.11536500952432055,-167,-0.8960910042121644
,48,離開Long,Breakout_LX,43964,0.16666666666666666,9237.25,1,,,,,,,,
25,49,進入Long,BreakOut_LE,43966,0.20833333333333334,9088.5,1,-28.5,-0.1567915497606866,442,0.44200000000000006,103,0.5666501622930077,-77,-0.4236122572481708
,50,離開Long,Breakout_LX,43966,0.7916666666666666,9079.25,1,,,,,,,,
26,51,進入Long,BreakOut_LE,43969,0.875,9278,1,54,0.29101099374865275,496,0.496,162,0.8730329812459583,-87,-0.46885104548394047
,52,離開Long,Breakout_LX,43970,0.4166666666666667,9310,1,,,,,,,,
27,53,進入Long,BreakOut_LE,43976,0.875,9514.25,1,97,0.5097616732795544,593,0.5930000000000001,173.5,0.9117902094227079,-25.5,-0.13400951204771788
,54,離開Long,Breakout_LX,43977,0.8333333333333334,9567.75,1,,,,,,,,
28,55,進入Long,BreakOut_LE,43980,0,9498.5,1,-231,-1.2159814707585408,362,0.362,129,0.6790545875664579,-226,-1.189661525504027
,56,離開Long,Breakout_LX,43980,0.4166666666666667,9388,1,,,,,,,,
29,57,進入Long,BreakOut_LE,43983,0.4583333333333333,9574.75,1,-76.5,-0.39948823729079086,285.5,0.2855,22,0.11488550614898563,-71.5,-0.37337789498420326
,58,離開Long,Breakout_LX,43983,0.7083333333333334,9541.5,1,,,,,,,,
30,59,進入Long,BreakOut_LE,43984,0.75,9648.25,1,-124,-0.6426035809602778,161.5,0.16149999999999998,38,0.19692690384266578,-119,-0.6166921462441376
,60,離開Long,Breakout_LX,43984,0.9166666666666666,9591.25,1,,,,,,,,
31,61,進入Long,BreakOut_LE,43991,0.16666666666666666,9875.5,1,-43,-0.21771049567110523,118.5,0.11850000000000001,57,0.28859298263379074,-38,-0.19239532175586047
,62,離開Long,Breakout_LX,43991,0.6666666666666666,9859,1,,,,,,,,
32,63,進入Long,BreakOut_LE,43991,0.9583333333333334,9910,1,144,0.7265388496468214,262.5,0.2625,207,1.0443995963673058,-5,-0.025227043390514632
,64,離開Long,Breakout_LX,43992,0.6666666666666666,9987,1,,,,,,,,
33,65,進入Long,BreakOut_LE,43992,0.875,10033.75,1,-14.5,-0.07225613554254391,248,0.248,238.5,1.1884888501308084,-36.5,-0.18188613429674846
,66,離開Long,Breakout_LX,43993,0.5,10031.5,1,,,,,,,,
34,67,進入Long,BreakOut_LE,43998,0.08333333333333333,9687.75,1,316.5,1.633506232097236,564.5,0.5645,514,2.652834765554437,-5,-0.02580578565714433
,68,離開Long,Breakout_LX,43998,0.6666666666666666,9851,1,,,,,,,,
35,69,進入Long,BreakOut_LE,44001,0.9166666666666666,10096.5,1,-99,-0.49026890506611204,465.5,0.4655,27,0.1337097013816669,-94,-0.46550784925469224
,70,離開Long,Breakout_LX,44002,0,10052,1,,,,,,,,
