交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
1,1,進入Long,BreakOut_LE,43904,0.20833333333333334,7966.25,1,-860.5,-5.400910089439824,-860.5,-0.8604999999999999,12,0.07531774674407657,-855.5,-5.369527694963126
,2,離開Long,Breakout_LX,43906,0.5833333333333334,7541,1,,,,,,,,
2,3,進入Long,BreakOut_LE,43910,0.08333333333333333,7450,1,-597,-4.006711409395973,-1457.5,-1.4575,98.5,0.6610738255033557,-592,-3.973154362416107
,4,離開Long,Breakout_LX,43910,0.3333333333333333,7156.5,1,,,,,,,,
3,5,進入Long,BreakOut_LE,43915,0.6666666666666666,7556,1,-287,-1.8991529910005294,-1744.5,-1.7445,398.5,2.636977236633139,-282,-1.8660667019587085
,6,離開Long,Breakout_LX,43916,0,7417.5,1,,,,,,,,
4,7,進入Long,BreakOut_LE,43917,0,7642,1,121.5,0.7949489662392044,-1623,-1.6230000000000002,497.5,3.2550379481811045,-5,-0.032713949227950796
,8,離開Long,Breakout_LX,43917,0.5833333333333334,7707.75,1,,,,,,,,
5,9,進入Long,BreakOut_LE,43921,0.16666666666666666,7848.25,1,-46,-0.293058962189023,-1669,-1.669,171.5,1.0926002612047272,-41,-0.26120472716847704
,10,離開Long,Breakout_LX,43921,0.5833333333333334,7830.25,1,,,,,,,,
6,11,進入Long,BreakOut_LE,43921,0.75,7940.75,1,-266,-1.6749047634039604,-1935,-1.9349999999999998,27.5,0.17315744734439442,-261,-1.6434215911595254
,12,離開Long,Breakout_LX,43921,0.9166666666666666,7812.75,1,,,,,,,,
7,13,進入Long,BreakOut_LE,43924,0.08333333333333333,7617,1,-140.5,-0.9222791125114874,-2075.5,-2.0755,74,0.4857555468032034,-346.5,-2.2745175265852695
,14,離開Long,Breakout_LX,43924,0.5833333333333334,7551.75,1,,,,,,,,
8,15,進入Long,BreakOut_LE,43924,0.9166666666666666,7648.5,1,-288.5,-1.8859907171340788,-2364,-2.3640000000000003,17,0.11113290187618487,-283.5,-1.853304569523436
,16,離開Long,Breakout_LX,43925,0,7509.25,1,,,,,,,,
9,17,進入Long,BreakOut_LE,43927,0.4166666666666667,7657.25,1,223,1.4561363413758204,-2141,-2.141,418,2.729439420157367,-5,-0.03264879689183454
,18,離開Long,Breakout_LX,43927,0.9166666666666666,7773.75,1,,,,,,,,
