交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
1,1,進入Long,TXF_BreakOut_LE,43483,0.75,9825,1,1450,0.2951653944020356,1450,0.145,4700,0.9567430025445294,-200,-0.04071246819338422
,2,離開Long,TXF_Breakout_LX,43486,0.9583333333333334,9860,1,,,,,,,,
2,3,進入Long,TXF_BreakOut_LE,43488,0.4479166666666667,9854,1,-2500,-0.5074081591231987,-1050,-0.105,150,0.03044448954739192,-2500,-0.5074081591231987
,4,離開Long,TXF_Breakout_LX,43489,0.08333333333333333,9810,1,,,,,,,,
3,5,進入Long,TXF_BreakOut_LE,43490,0,9881,1,5450,1.1031272138447525,4400,0.44,7700,1.5585467057990081,-150,-0.030361299463617045
,6,離開Long,TXF_Breakout_LX,43493,0.40625,9996,1,,,,,,,,
4,7,進入Long,TXF_BreakOut_LE,43508,0.53125,10087,1,-50,-0.00991375037176564,4350,0.43499999999999994,2550,0.5056012689600476,-500,-0.0991375037176564
,8,離開Long,TXF_Breakout_LX,43509,0.40625,10092,1,,,,,,,,
5,9,進入Long,TXF_BreakOut_LE,43511,0.125,10091,1,-3100,-0.6144088791992866,1250,0.125,1100,0.21801605390942425,-2950,-0.5846794173025468
,10,離開Long,TXF_Breakout_LX,43511,0.4479166666666667,10035,1,,,,,,,,
6,11,進入Long,TXF_BreakOut_LE,43512,0.16666666666666666,10094,1,1300,0.25757875965920346,2550,0.255,3200,0.6340400237765008,-350,-0.06934812760055478
,12,離開Long,TXF_Breakout_LX,43515,0.40625,10126,1,,,,,,,,
7,13,進入Long,TXF_BreakOut_LE,43516,0,10154,1,3150,0.6204451447705338,5700,0.5700000000000001,5300,1.0439235769155013,-300,-0.059090013787669884
,14,離開Long,TXF_Settlement_LX,43516,0.53125,10223,1,,,,,,,,
8,15,進入Long,TXF_BreakOut_LE,43521,0.6666666666666666,10379,1,350,0.06744387705944696,6050,0.605,1900,0.3661239040369978,-200,-0.038539358319683976
,16,離開Long,TXF_Breakout_LX,43522,0.08333333333333333,10392,1,,,,,,,,
9,17,進入Long,TXF_BreakOut_LE,43523,0.20833333333333334,10377,1,-1900,-0.36619446853618576,4150,0.415,150,0.028910089621277828,-1750,-0.337284378914908
,18,離開Long,TXF_Breakout_LX,43523,0.40625,10345,1,,,,,,,,
10,19,進入Long,TXF_BreakOut_LE,43535,0.5729166666666666,10228,1,-1200,-0.23464998044583496,2950,0.295,300,0.05866249511145874,-1050,-0.20531873289010558
,20,離開Long,TXF_Breakout_LX,43535,0.9166666666666666,10210,1,,,,,,,,
11,21,進入Long,TXF_BreakOut_LE,43537,0.75,10381,1,-500,-0.0963298333493883,2450,0.245,1450,0.2793565167132261,-450,-0.08669685001444948
,22,離開Long,TXF_Breakout_LX,43538,0.40625,10377,1,,,,,,,,
12,23,進入Long,TXF_BreakOut_LE,43539,0.4479166666666667,10398,1,3550,0.6828236199269091,6000,0.6,4900,0.9424889401808041,-150,-0.028851702250432775
,24,離開Long,TXF_Breakout_LX,43543,0,10475,1,,,,,,,,
13,25,進入Long,TXF_BreakOut_LE,43545,0.4479166666666667,10570,1,750,0.14191106906338694,6750,0.675,4500,0.8514664143803218,-400,-0.07568590350047304
,26,離開Long,TXF_Breakout_LX,43546,0.4479166666666667,10591,1,,,,,,,,
14,27,進入Long,TXF_BreakOut_LE,43553,0.875,10623,1,2150,0.4047820766261884,8900,0.89,4450,0.8378047632495528,-1550,-0.2918196366374847
,28,離開Long,TXF_Breakout_LX,43557,0.9583333333333334,10672,1,,,,,,,,
15,29,進入Long,TXF_BreakOut_LE,43563,0.9583333333333334,10781,1,2000,0.3710230961877377,10900,1.09,4750,0.881179853445877,-250,-0.046377887023467214
,30,離開Long,TXF_Breakout_LX,43564,0.9166666666666666,10827,1,,,,,,,,
16,31,進入Long,TXF_BreakOut_LE,43565,0.7916666666666666,10876,1,-1350,-0.2482530342037514,9550,0.955,300,0.055167340934166975,-1200,-0.2206693637366679
,32,離開Long,TXF_Breakout_LX,43566,0.40625,10855,1,,,,,,,,
17,33,進入Long,TXF_BreakOut_LE,43567,0.75,10825,1,1100,0.20323325635103923,10650,1.065,3350,0.6189376443418014,-500,-0.09237875288683603
,34,離開Long,TXF_Breakout_LX,43570,0.9166666666666666,10853,1,,,,,,,,
18,35,進入Long,TXF_BreakOut_LE,43581,0.9166666666666666,10933,1,-1200,-0.21951888777096865,9450,0.9450000000000001,2050,0.37501143327540476,-1050,-0.19207902679959757
,36,離開Long,TXF_Breakout_LX,43584,0.4479166666666667,10915,1,,,,,,,,
19,37,進入Long,TXF_BreakOut_LE,43585,0.08333333333333333,10943,1,-1150,-0.21018002375948092,8300,0.83,200,0.03655304761034451,-1000,-0.18276523805172257
,38,離開Long,TXF_Breakout_LX,43585,0.20833333333333334,10926,1,,,,,,,,
20,39,進入Long,TXF_BreakOut_LE,43586,0.08333333333333333,10953,1,-100,-0.018259837487446362,8200,0.8200000000000001,250,0.045649593718615905,-150,-0.027389756231169543
,40,離開Long,TXF_Holiday_LX,43586,0.16666666666666666,10957,1,,,,,,,,
21,41,進入Long,TXF_BreakOut_LE,43588,0.4895833333333333,11028,1,-2200,-0.3989844033369605,6000,0.6,5350,0.9702575262966994,-2050,-0.3717809212912586
,42,離開Long,TXF_Breakout_LX,43591,0.40625,10990,1,,,,,,,,
22,43,進入Long,TXF_BreakOut_LE,43592,0.4479166666666667,10959,1,-600,-0.10949904188338351,5400,0.54,1700,0.31024728533625334,-450,-0.08212428141253764
,44,離開Long,TXF_Breakout_LX,43592,0.8333333333333334,10953,1,,,,,,,,
23,45,進入Long,TXF_BreakOut_LE,43595,0.4479166666666667,10830,1,-8300,-1.5327793167128347,-2900,-0.29,850,0.1569713758079409,-9350,-1.72668513388735
,46,離開Long,TXF_Breakout_LX,43596,0,10670,1,,,,,,,,
24,47,進入Long,TXF_BreakOut_LE,43606,0.4895833333333333,10470,1,-200,-0.038204393505253106,-3100,-0.31,1850,0.3533906399235912,-750,-0.14326647564469913
,48,離開Long,TXF_Breakout_LX,43607,0.40625,10472,1,,,,,,,,
25,49,進入Long,TXF_BreakOut_LE,43612,0.6666666666666666,10346,1,-1250,-0.2416392808815001,-4350,-0.43499999999999994,1250,0.2416392808815001,-1350,-0.2609704233520201
,50,離開Long,TXF_Breakout_LX,43613,0.40625,10327,1,,,,,,,,
26,51,進入Long,TXF_BreakOut_LE,43615,0.7916666666666666,10376,1,-2350,-0.4529683885890517,-6700,-0.67,1550,0.29876638396299154,-2200,-0.4240555127216654
,52,離開Long,TXF_Breakout_LX,43616,0.40625,10335,1,,,,,,,,
27,53,進入Long,TXF_BreakOut_LE,43616,0.4479166666666667,10438,1,-1550,-0.2969917608737306,-8250,-0.8250000000000001,2600,0.49817972791722553,-1500,-0.28741138149070705
,54,離開Long,TXF_Breakout_LX,43619,0.40625,10413,1,,,,,,,,
28,55,進入Long,TXF_BreakOut_LE,43620,0.08333333333333333,10470,1,-1400,-0.26743075453677173,-9650,-0.9650000000000001,400,0.07640878701050621,-1250,-0.2387774594078319
,56,離開Long,TXF_Breakout_LX,43620,0.125,10448,1,,,,,,,,
29,57,進入Long,TXF_BreakOut_LE,43621,0.08333333333333333,10472,1,-1300,-0.2482811306340718,-10950,-1.095,1750,0.3342245989304813,-1150,-0.219633307868602
,58,離開Long,TXF_Breakout_LX,43621,0.53125,10452,1,,,,,,,,
30,59,進入Long,TXF_BreakOut_LE,43621,0.7916666666666666,10468,1,-1750,-0.33435231180741304,-12700,-1.27,0,0,-1600,-0.30569354222392053
,60,離開Long,TXF_Breakout_LX,43621,0.9583333333333334,10439,1,,,,,,,,
31,61,進入Long,TXF_BreakOut_LE,43626,0.4479166666666667,10498,1,1800,0.34292246142122307,-10900,-1.09,4200,0.8001524099828539,-150,-0.028576871785101925
,62,離開Long,TXF_Breakout_LX,43627,0.40625,10540,1,,,,,,,,
32,63,進入Long,TXF_BreakOut_LE,43627,0.7083333333333334,10599,1,-950,-0.17926219454665535,-11850,-1.185,700,0.1320879328238513,-800,-0.15095763751297292
,64,離開Long,TXF_Breakout_LX,43628,0,10586,1,,,,,,,,
