交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
1,1,進入Long,TXF_BreakOut_LE,43838,0.20833333333333334,11898,1,-8900,-1.4960497562615565,-8900,-0.89,550,0.09245251302739957,-8750,-1.4708354345268113
,2,離開Long,TXF_Breakout_LX,43838,0.40625,11726,1,,,,,,,,
2,3,進入Long,TXF_BreakOut_LE,43838,0.4895833333333333,11890,1,3550,0.5971404541631623,-5350,-0.5349999999999999,5600,0.9419680403700589,-5350,-0.8999158957106812
,4,離開Long,TXF_Breakout_LX,43840,0.041666666666666664,11967,1,,,,,,,,
3,5,進入Long,TXF_BreakOut_LE,43845,0.041666666666666664,12178,1,-1300,-0.2134997536541304,-6650,-0.6649999999999999,800,0.13138446378715718,-1150,-0.18886516669403844
,6,離開Long,TXF_Breakout_LX,43845,0.40625,12158,1,,,,,,,,
4,7,進入Long,TXF_BreakOut_LE,43845,0.875,12075,1,-1050,-0.17391304347826086,-7700,-0.77,350,0.057971014492753624,-900,-0.14906832298136646
,8,離開Long,TXF_Breakout_LX,43846,0.08333333333333333,12060,1,,,,,,,,
5,9,進入Long,TXF_BreakOut_LE,43846,0.4479166666666667,12065,1,-450,-0.07459593866556154,-8150,-0.815,2500,0.4144218814753419,-1800,-0.29838375466224615
,10,離開Long,TXF_Breakout_LX,43847,0.40625,12062,1,,,,,,,,
6,11,進入Long,TXF_BreakOut_LE,43850,0.40625,12118,1,-1950,-0.321835286350883,-10100,-1.01,1950,0.321835286350883,-1800,-0.2970787258623535
,12,離開Long,TXF_Breakout_LX,43850,0.7083333333333334,12085,1,,,,,,,,
7,13,進入Long,TXF_BreakOut_LE,43861,0.40625,11462,1,-3000,-0.5234688536032106,-13100,-1.31,5150,0.8986215320188449,-2850,-0.49729541092305
,14,離開Long,TXF_Breakout_LX,43861,0.7916666666666666,11408,1,,,,,,,,
8,15,進入Long,TXF_BreakOut_LE,43864,0.8333333333333334,11330,1,11500,2.0300088261253313,-1600,-0.16,15300,2.700794351279788,-1050,-0.18534863195057372
,16,離開Long,TXF_Breakout_LX,43866,0.40625,11566,1,,,,,,,,
9,17,進入Long,TXF_BreakOut_LE,43866,0.75,11625,1,2600,0.4473118279569892,1000,0.1,5800,0.9978494623655915,-2250,-0.3870967741935484
,18,離開Long,TXF_Breakout_LX,43867,0.9583333333333334,11683,1,,,,,,,,
10,19,進入Long,TXF_BreakOut_LE,43871,0.5729166666666666,11559,1,4250,0.7353577299074314,5250,0.525,7400,1.2803875767799981,-2350,-0.4066095683017562
,20,離開Long,TXF_Breakout_LX,43873,0.40625,11650,1,,,,,,,,
11,21,進入Long,TXF_BreakOut_LE,43875,0.041666666666666664,11764,1,-300,-0.05100306018361102,4950,0.49500000000000005,4250,0.7225433526011561,-600,-0.10200612036722204
,22,離開Long,TXF_Breakout_LX,43876,0.08333333333333333,11764,1,,,,,,,,
12,23,進入Long,TXF_BreakOut_LE,43878,0.40625,11766,1,-2850,-0.4844467108618052,2100,0.21,1150,0.1954784973652898,-2700,-0.4589495155532891
,24,離開Long,TXF_Breakout_LX,43879,0.40625,11715,1,,,,,,,,
13,25,進入Long,TXF_BreakOut_LE,43880,0.4479166666666667,11685,1,4150,0.7103123662815575,6250,0.625,5500,0.9413778348309799,-150,-0.025673940949935817
,26,離開Long,TXF_Settlement_LX,43880,0.53125,11774,1,,,,,,,,
14,27,進入Long,TXF_BreakOut_LE,43882,0.9166666666666666,11676,1,-2450,-0.4196642685851319,3800,0.38,0,0,-2300,-0.39397053785542996
,28,離開Long,TXF_Breakout_LX,43883,0.125,11633,1,,,,,,,,
15,29,進入Long,TXF_BreakOut_LE,43886,0.4479166666666667,11531,1,-3700,-0.641748330587113,100,0.01,1350,0.23415141791691962,-3550,-0.6157315063741219
,30,離開Long,TXF_Breakout_LX,43887,0,11463,1,,,,,,,,
16,31,進入Long,TXF_BreakOut_LE,43887,0.4895833333333333,11482,1,-7350,-1.2802647622365442,-7250,-0.7250000000000001,0,0,-7200,-1.2541369099460025
,32,離開Long,TXF_Breakout_LX,43887,0.75,11341,1,,,,,,,,
17,33,進入Long,TXF_BreakOut_LE,43888,0.40625,11418,1,-2450,-0.42914696093886845,-9700,-0.97,1300,0.2277106323349098,-2300,-0.4028726572079173
,34,離開Long,TXF_ThisBar_LX,43888,0.40625,11375,1,,,,,,,,
18,35,進入Long,TXF_BreakOut_LE,43892,0.7083333333333334,11225,1,3750,0.6681514476614699,-5950,-0.5950000000000001,7300,1.3006681514476615,-7800,-1.3897550111358574
,36,離開Long,TXF_Breakout_LX,43893,0.9583333333333334,11306,1,,,,,,,,
19,37,進入Long,TXF_BreakOut_LE,43894,0.4895833333333333,11344,1,4050,0.7140338504936531,-1900,-0.19,7700,1.3575458392101551,-650,-0.11459802538787023
,38,離開Long,TXF_Breakout_LX,43895,0.9166666666666666,11431,1,,,,,,,,
20,39,進入Long,TXF_BreakOut_LE,43899,0.9583333333333334,10820,1,3500,0.6469500924214419,1600,0.16,8650,1.598890942698706,-5000,-0.9242144177449169
,40,離開Long,TXF_Breakout_LX,43901,0,10896,1,,,,,,,,
21,41,進入Long,TXF_BreakOut_LE,43901,0.9583333333333334,10849,1,-3650,-0.6728730758595263,-2050,-0.20500000000000002,850,0.1566964697207116,-3500,-0.6452207576735183
,42,離開Long,TXF_Breakout_LX,43902,0.125,10782,1,,,,,,,,
22,43,進入Long,TXF_BreakOut_LE,43903,0.4479166666666667,9794,1,1050,0.21441698999387382,-1000,-0.1,27450,5.605472738411272,-10550,-2.154380232795589
,44,離開Long,TXF_Breakout_LX,43904,0,9821,1,,,,,,,,
23,45,進入Long,TXF_BreakOut_LE,43907,0.8333333333333334,9299,1,4450,0.9570921604473599,3450,0.345,9900,2.1292612108828908,-8550,-1.83890740939886
,46,離開Long,TXF_Settlement_LX,43908,0.53125,9394,1,,,,,,,,
24,47,進入Long,TXF_BreakOut_LE,43908,0.9583333333333334,8776,1,-10900,-2.4840474020054697,-7450,-0.745,4550,1.0369188696444849,-10750,-2.449863263445761
,48,離開Long,TXF_Breakout_LX,43909,0.4479166666666667,8564,1,,,,,,,,
25,49,進入Long,TXF_BreakOut_LE,43909,0.7083333333333334,8525,1,25750,6.041055718475073,18300,1.83,40600,9.52492668621701,-5600,-1.313782991202346
,50,離開Long,TXF_Breakout_LX,43911,0.041666666666666664,9046,1,,,,,,,,
26,51,進入Long,TXF_BreakOut_LE,43913,0.7916666666666666,8738,1,39500,9.04097047379263,57800,5.779999999999999,52350,11.982146944380865,-2900,-0.6637674525062943
,52,離開Long,TXF_Breakout_LX,43916,0.40625,9534,1,,,,,,,,
27,53,進入Long,TXF_BreakOut_LE,43916,0.9166666666666666,9617,1,850,0.176770302589165,58650,5.865,14550,3.025891650202766,-150,-0.031194759280440885
,54,離開Long,TXF_Breakout_LX,43917,0.53125,9640,1,,,,,,,,
28,55,進入Long,TXF_BreakOut_LE,43918,0.16666666666666666,9486,1,-6100,-1.2861058401855368,52550,5.255,2550,0.5376344086021506,-5950,-1.2544802867383513
,56,離開Long,TXF_Breakout_LX,43920,0.40625,9370,1,,,,,,,,
29,57,進入Long,TXF_BreakOut_LE,43920,0.75,9520,1,950,0.1995798319327731,53500,5.35,9750,2.0483193277310923,-2350,-0.4936974789915966
,58,離開Long,TXF_Breakout_LX,43921,0.53125,9545,1,,,,,,,,
30,59,進入Long,TXF_BreakOut_LE,43928,0.6666666666666666,10080,1,-1650,-0.3273809523809524,51850,5.185,5050,1.001984126984127,-1750,-0.3472222222222222
,60,離開Long,TXF_Breakout_LX,43929,0.125,10053,1,,,,,,,,
31,61,進入Long,TXF_BreakOut_LE,43929,0.875,10077,1,-2300,-0.4564850649995038,49550,4.955,5850,1.1610598392378684,-2650,-0.5259501835863848
,62,離開Long,TXF_Breakout_LX,43931,0.16666666666666666,10037,1,,,,,,,,
32,63,進入Long,TXF_BreakOut_LE,43931,0.40625,10048,1,4450,0.8857484076433121,54000,5.4,6700,1.3335987261146498,-150,-0.029856687898089172
,64,離開Long,TXF_Breakout_LX,43932,0.20833333333333334,10143,1,,,,,,,,
33,65,進入Long,TXF_BreakOut_LE,43934,0.75,10086,1,12550,2.4885980567122745,66550,6.654999999999999,16150,3.2024588538568315,-950,-0.1883799325798136
,66,離開Long,TXF_Breakout_LX,43936,0.40625,10343,1,,,,,,,,
34,67,進入Long,TXF_BreakOut_LE,43937,0.6666666666666666,10400,1,3800,0.7307692307692307,70350,7.034999999999999,13300,2.5576923076923075,-3750,-0.7211538461538461
,68,離開Long,TXF_Breakout_LX,43939,0.125,10482,1,,,,,,,,
35,69,進入Long,TXF_BreakOut_LE,43943,0.4895833333333333,10144,1,4700,0.9266561514195584,75050,7.505000000000001,8550,1.685725552050473,-150,-0.029574132492113565
,70,離開Long,TXF_Breakout_LX,43944,0.20833333333333334,10244,1,,,,,,,,
36,71,進入Long,TXF_BreakOut_LE,43944,0.5729166666666666,10274,1,-2350,-0.4574654467588086,72700,7.2700000000000005,4300,0.8370644344948414,-2200,-0.4282655246252677
,72,離開Long,TXF_Breakout_LX,43945,0.40625,10233,1,,,,,,,,
37,73,進入Long,TXF_BreakOut_LE,43945,0.7916666666666666,10314,1,11100,2.152414194299011,83800,8.38,15500,3.005623424471592,-1900,-0.3684312584836145
,74,離開Long,TXF_Breakout_LX,43949,0.40625,10542,1,,,,,,,,
38,75,進入Long,TXF_BreakOut_LE,43949,0.53125,10570,1,1300,0.24597918637653737,85100,8.51,5550,1.0501419110690633,-2500,-0.47303689687795647
,76,離開Long,TXF_Breakout_LX,43950,0.20833333333333334,10602,1,,,,,,,,
39,77,進入Long,TXF_BreakOut_LE,43950,0.4479166666666667,10758,1,4600,0.8551775422941067,89700,8.97,10500,1.9520356943669825,-3250,-0.6042015244469232
,78,離開Long,TXF_Breakout_LX,43951,0.9166666666666666,10856,1,,,,,,,,
40,79,進入Long,TXF_BreakOut_LE,43956,0.041666666666666664,10639,1,3000,0.5639627784566219,92700,9.27,7650,1.4381050850643857,-2100,-0.39477394491963536
,80,離開Long,TXF_Breakout_LX,43957,0.16666666666666666,10705,1,,,,,,,,
41,81,進入Long,TXF_BreakOut_LE,43957,0.6666666666666666,10775,1,-3000,-0.5568445475638051,89700,8.97,1250,0.23201856148491878,-2850,-0.5290023201856149
,82,離開Long,TXF_Breakout_LX,43958,0.16666666666666666,10721,1,,,,,,,,
42,83,進入Long,TXF_BreakOut_LE,43958,0.4895833333333333,10824,1,4750,0.877679231337768,94450,9.445,10550,1.949371766444937,-900,-0.1662971175166297
,84,離開Long,TXF_Breakout_LX,43962,0.7916666666666666,10925,1,,,,,,,,
43,85,進入Long,TXF_BreakOut_LE,43963,0.041666666666666664,10935,1,-3000,-0.5486968449931412,91450,9.145,800,0.1463191586648377,-2850,-0.5212620027434842
,86,離開Long,TXF_Breakout_LX,43963,0.40625,10881,1,,,,,,,,
44,87,進入Long,TXF_BreakOut_LE,43963,0.8333333333333334,10900,1,-1850,-0.3394495412844037,89600,8.959999999999999,1750,0.3211009174311927,-1700,-0.3119266055045871
,88,離開Long,TXF_Breakout_LX,43964,0.16666666666666666,10869,1,,,,,,,,
45,89,進入Long,TXF_BreakOut_LE,43964,0.7916666666666666,10948,1,-3450,-0.6302521008403361,86150,8.615,450,0.08220679576178297,-3300,-0.6028498355864085
